"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (1,000 TO 1,999 ACRES)","669","13.0"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (1.0 TO 9.9 ACRES)","4,508","24.6"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (10.0 TO 49.9 ACRES)","15,406","8.7"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (100 TO 139 ACRES)","3,301","9.8"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (140 TO 179 ACRES)","1,927","12.6"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (180 TO 219 ACRES)","1,193","7.5"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (2,000 OR MORE ACRES)","248","5.0"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (220 TO 259 ACRES)","823","10.5"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (260 TO 499 ACRES)","2,122","5.8"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (50.0 TO 69.9 ACRES)","4,236","7.5"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (500 TO 999 ACRES)","1,228","6.4"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","AREA OPERATED","AREA OPERATED: (70.0 TO 99.9 ACRES)","3,791","4.5"
"CENSUS","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","FARM OPERATIONS","FARM OPERATIONS, ORGANIZATION, TAX PURPOSES, FAMILY & INDIVIDUAL - NUMBER OF OPERATIONS","ECONOMIC CLASS","ECONOMIC CLASS: (1,000 TO 2,499 $)","5,469","9.7"
